"""Preliminär Huvudbok""";;;;;;;;
Samis Jackets AB;;;;;;;;
559489-5301;;;;;;;;
"""Utskriftsdatum"": den 6 January 2026 18:53:59";;;;;;;;
;;;;;;;;
"""Räkenskapsår:"" 2024-07-01 - 2025-12-31";;;;;;;;
"""Avser perioden"" 2024-07-01 - 2025-12-31";;;;;;;;
;;;;;;;;
;;;;;;;;
"""Konto""";"""Verifikation""";"""Datum""";"""Beskrivning""";"""Momskod""";"""Moms""";"""Debet""";"""Kredit""";"""Saldo"""
1220 Inventarier och verktyg;;;;;;;;
;A 1010;2025-11-15;TG JBC Orebro - Arbetsresa;;;;2 055,00;-1 458 638,69
;A 1003;2025-11-16;Apple.com iCloud - Fretagstjanst;;;;17,00;-1 458 655,69
;A 884;2025-11-17;Skuld 2893 inbetalning 6641229;;;;284,00;-1 458 939,69
;A 978;2025-11-17;Skatteverket Betalning;;;;400,00;-1 459 339,69
;A 771;2025-11-24;APPLE.COM/BILL - iCloud company;;;;249,00;-1 459 588,69
;A 962;2025-11-24;Liuhua Hotel Guangzhou - Kinaresa arbetsresa;;;;7 178,53;-1 466 767,22
;A 1002;2025-11-25;AIMO Parkering - Fretag;;;;354,95;-1 467 122,17
;A 895;2025-11-26;Skuld 2893 inbetalning;;;;19 000,00;-1 486 122,17
;A 896;2025-11-26;SAMIS1 Skuld 2893 inbetalning;;;;20 000,00;-1 506 122,17
;A 898;2025-11-26;Skuld 2893 inbetalning 6641229;;;;778,00;-1 506 900,17
;A 899;2025-11-26;Skuld 2893 inbetalning SKULDRA;;;;38 800,00;-1 545 700,17
;A 772;2025-11-27;FOREX 861 Arlanda - Future World Tech loan;;;;6 500,00;-1 552 200,17
;A 773;2025-11-27;FOREX 861 Arlanda - Future World Tech loan;;;;10 000,00;-1 562 200,17
;A 774;2025-11-27;FOREX 861 Arlanda - Future World Tech loan;;;;10 000,00;-1 572 200,17
;A 901;2025-11-27;Inbetalning 07306298220;;;;7 856,00;-1 580 056,17
;A 964;2025-11-27;FOREX Arlanda - Lneavans till Future World Tech;;;;10 000,00;-1 590 056,17
;A 983;2025-11-27;MALARDALSTRAFIKEN - Arbetsresa;;;;734,00;-1 590 790,17
;A 965;2025-11-28;Kontantuttagsavgift - Remamber kort avgift;;;;240,00;-1 591 030,17
;A 963;2025-11-29;Liuhua Hotel Guangzhou - Kinaresa arbetsresa;;;;4 486,38;-1 595 516,55
;A 987;2025-12-01;Google GSUITE - Fretagstjanst;;;;63,42;-1 595 579,97
;A 989;2025-12-01;TikTok Ads - Marknadsforing;;;;29,03;-1 595 609,00
;A 1008;2025-12-02;Partners on Booking BV - Resekostnader Arlanda;;;;1 424,34;-1 597 033,34
;A 990;2025-12-03;TikTok Ads - Marknadsforing;;;;2 744,00;-1 599 777,34
;A 997;2025-12-03;VIMLA Telefonabonnemang - Fretag;;;;60,00;-1 599 837,34
;A 998;2025-12-03;VIMLA Telefonabonnemang - Fretag;;;;60,00;-1 599 897,34
;A 999;2025-12-03;VIMLA Telefonabonnemang - Fretag;;;;60,00;-1 599 957,34
;A 1000;2025-12-03;VIMLA Telefonabonnemang - Fretag;;;;20,00;-1 599 977,34
;A 966;2025-12-05;Aviavgift - Remamber kortavgift;;;;31,20;-1 600 008,54
;A 967;2025-12-05;vertrasseringsavgift - Remamber;;;;76,00;-1 600 084,54
;A 973;2025-12-09;YESIM Roaming - Kinaresa;;;;167,17;-1 600 251,71
;A 1004;2025-12-11;Apple.com iCloud - Fretagstjanst;;;;249,00;-1 600 500,71
;A 977;2025-12-12;Fortnox Bokforingsprogram;;;;149,00;-1 600 649,71
;A 924;2025-12-15;Fretag mobil Telia 47460035;;;;569,00;-1 601 218,71
;A 1005;2025-12-16;Apple.com iCloud - Fretagstjanst;;;;18,00;-1 601 236,71
;A 828;2025-12-17;Loan repayment USD 225.96 USD kurs 9.33791;;;2 110,00;;-1 599 126,71
;A 984;2025-12-24;Swish Auronis AB - Fretagsbetalning;;;;100,00;-1 599 226,71
;A 984;2025-12-24;Swish Auronis AB - Fretagsbetalning;;;100,00;;-1 599 126,71
;A 833;2025-12-25;Loan repayment USD 205.02 USD kurs 9.17442;;;1 880,94;;-1 597 245,77
;A 834;2025-12-25;Loan repayment USD 7.49 USD kurs 9.17442;;;68,70;;-1 597 177,07
;A 835;2025-12-25;Loan repayment USD 63.11 USD kurs 9.17442;;;579,00;;-1 596 598,07
;;;"""Utgående saldo:""";;0,00;731 939,36;2 328 537,43;-1 596 598,07
;;;;;;;;
3051 Försäljn varor 25% sv;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 438;2025-01-07;Received money from STRIPE;05 (25%);-209,81;;839,23;-839,23
;A 437;2025-01-10;Received money from STRIPE;05 (25%);-390,38;;1 561,54;-2 400,77
;A 435;2025-01-24;Received money from STRIPE;05 (25%);-127,54;;510,14;-2 910,91
;A 433;2025-02-07;Received money from STRIPE;05 (25%);-783,17;;3 132,67;-6 043,58
;A 454;2025-03-28;Crona Kassa Sales Period 1 Oct-Mar 28;05 (25%);-22 109,00;;88 436,00;-94 479,58
;A 430;2025-04-04;Received money from STRIPE;05 (25%);-343,32;;1 373,28;-95 852,86
;A 455;2025-05-28;Shopify POS Sales Period Mar 29-May 28;05 (25%);-34 765,03;;139 060,11;-234 912,97
;A 456;2025-06-30;Easy Cashier Sales Period May 29-Jun 30;05 (25%);-9 415,50;;37 662,00;-272 574,97
;A 751;2025-09-30;Q3 2025 card sales via Worldline;05 (25%);-31 156,14;;124 624,56;-397 199,53
;A 752;2025-09-30;Q3 2025 cash sales;05 (25%);-5 254,24;;21 016,94;-418 216,47
;A 948;2025-10-03;Shopify EUR 103.75;05 (25%);-238,62;;954,50;-419 170,97
;A 949;2025-10-10;Shopify EUR 86.12;05 (25%);-198,08;;792,30;-419 963,27
;A 950;2025-10-17;Shopify EUR 418.35;05 (25%);-962,20;;3 848,82;-423 812,09
;A 951;2025-10-24;Shopify EUR 154.12;05 (25%);-354,48;;1 417,90;-425 229,99
;A 944;2025-10-31;Kortforsaljning Oktober Worldline;05 (25%);-15 137,04;;60 548,17;-485 778,16
;A 952;2025-11-07;Shopify EUR 371.75;05 (25%);-855,02;;3 420,10;-489 198,26
;A 953;2025-11-14;Shopify EUR 86.37;05 (25%);-198,66;;794,66;-489 992,92
;A 954;2025-11-21;Shopify EUR 1398.29;05 (25%);-3 216,07;;12 864,27;-502 857,19
;A 955;2025-11-28;Shopify EUR 2199.39;05 (25%);-5 058,60;;20 234,39;-523 091,58
;A 1011;2025-11-28;Shopify Sale for Wise payout;05 (25%);-7 987,00;;31 947,98;-555 039,56
;A 945;2025-11-30;Kortforsaljning November Worldline;05 (25%);-30 689,46;;122 757,85;-677 797,41
;A 956;2025-12-05;Shopify EUR 573.75;05 (25%);-1 319,62;;5 278,50;-683 075,91
;A 957;2025-12-12;Shopify EUR 58.31;05 (25%);-134,11;;536,44;-683 612,35
;A 958;2025-12-29;Shopify EUR 86.77;05 (25%);-199,57;;798,28;-684 410,63
;A 946;2025-12-31;Kortforsaljning December Worldline;05 (25%);-17 431,33;;69 725,33;-754 135,96
;A 947;2025-12-31;Kontantforsaljning Q4;05 (25%);-8 617,55;;34 470,20;-788 606,16
;;;"""Utgående saldo:""";;-197 151,54;0,00;788 606,16;-788 606,16
;;;;;;;;
3740 Öres- och kronutjämning;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 603;2024-12-31;Momsredovisning oktober-december 2024;;;0,16;;0,16
;A 604;2025-03-31;Momsredovisning januari-mars 2025;;;;1,40;-1,24
;A 605;2025-06-30;Momsredovisning april-juni 2025;;;0,02;;-1,22
;A 763;2025-09-30;Momsredovisning juli-september 2025;;;;0,07;-1,29
;;;"""Utgående saldo:""";;0,00;0,18;1,47;-1,29
;;;;;;;;
4000 Inköp av varor från Sverige;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 766;2025-10-07;TEMU.COM - Company purchase;;;893,82;;893,82
;A 767;2025-10-09;AMAZONMKTPLC - Company purchase;;;1 035,10;;1 928,92
;A 769;2025-10-16;TEMU.COM refund;;;;101,30;1 827,62
;A 770;2025-10-16;TEMU.COM refund;;;;19,71;1 807,91
;;;"""Utgående saldo:""";;0,00;1 928,92;121,01;1 807,91
;;;;;;;;
4001 Inkop av tjanst;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 174;2024-11-20;Elmontering till sträckning;;;3 605,60;;3 605,60
;A 68;2024-11-28;(CVS CENTER );;;1 085,00;;4 690,60
;A 150;2024-11-28;(605272 CVS);;;1 085,00;;5 775,60
;A 60;2024-11-30;Assemblin EL AB (korrigerad med verifikation A243 av Mohammad Sami Alsharef, 2025-06-27) (korrigerad med verifikation A2;;;3 605,59;;9 381,19
;A 176;2025-01-13;Crona Software AB;;;48,80;;9 429,99
;A 177;2025-01-13;Fortnox Finans AB;;;76,80;;9 506,79
;A 178;2025-01-14;Fortnox Finans AB;;;76,80;;9 583,59
;;;"""Utgående saldo:""";;0,00;9 583,59;0,00;9 583,59
;;;;;;;;
4110 Kostnad sÑlda varor;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 614;2025-06-30;KSV fr sÑlda damjackor oktober 2024 - juni 2025;;;163 049,24;;163 049,24
;A 615;2025-06-30;KSV fr sÑlda kinaprodukter oktober 2024 - juni 2025;;;42 970,00;;206 019,24
;A 623;2025-09-30;COGS - Q3 2025 sales (921 units);;;45 344,24;;251 363,48
;A 959;2025-12-31;Varufrbrukning Q4 2025;;;236 141,50;;487 504,98
;;;"""Utgående saldo:""";;0,00;487 504,98;0,00;487 504,98
;;;;;;;;
4545 Import av varor, 25 % moms;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 91;2024-09-26;Invoice (USD 40008) FIK20240000000042 vx enl. kurs 10,2296;50 (25%);102 316,46;409 265,84;;409 265,84
;A 92;2024-10-16;Invoice #906 (USD 30700 enl. vxelkurs 10,4144);50 (25%);79 930,52;319 722,08;;728 987,92
;A 612;2025-02-01;korrgingirn av valuta fel ;50 (25%);487,50;1 950,00;;730 937,92
;A 600;2025-02-28;First China container - ûverfring frÑn Futureworld till inkp;50 (25%);92 123,00;368 492,00;;1 099 429,92
;A 606;2025-06-30;Allokering maskiner och inventarier frÑn import;50 (25%);-12 292,67;;49 170,68;1 050 259,24
;A 607;2025-06-30;Allokering marknadsfringskostnader frÑn import;50 (25%);-9 434,57;;37 738,29;1 012 520,95
;A 608;2025-06-30;Allokering handelslager 85% frÑn import;50 (25%);-190 375,63;;761 502,53;251 018,42
;A 609;2025-06-30;Allokering marknadsfringslager 15% frÑn import;50 (25%);-33 595,70;;134 382,80;116 635,62
;A 610;2025-06-30;Allokering frbrukningsmaterial frÑn import;50 (25%);-562,40;;2 249,62;114 386,00
;A 611;2025-06-30;Allokering frakt- och transportkostnader frÑn import;50 (25%);-28 598,23;;114 392,93;-6,93
;;;"""Utgående saldo:""";;-1,72;1 099 429,92;1 099 436,85;-6,93
;;;;;;;;
5010 Lokalhyra;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 341;2024-12-30;Money out to IBAN - SE7680000890116948003766 - 1088488505 - Hyra med moms;;;15 424,50;;15 424,50
;A 235;2025-01-28;Money out to IBAN - SE7680000890116948003766 - 1088488604 - Hyra med moms;;;15 424,50;;30 849,00
;A 236;2025-01-28;Money out to IBAN - SE7680000890116948003766 - 1088975006 - Hyra med moms;;;1 422,00;;32 271,00
;A 584;2025-02-14;Lokalhyra - med moms;;;16 608,00;;48 879,00
;A 551;2025-04-08;Lokalhyra - med moms;;;16 452,80;;65 331,80
;A 531;2025-04-29;Lokalhyra - med moms;;;1 516,80;;66 848,60
;A 532;2025-04-29;Lokalhyra - med moms;;;16 033,60;;82 882,20
;A 524;2025-05-05;Lokalhyra - med moms;;;15 986,40;;98 868,60
;A 525;2025-05-05;Lokalhyra - med moms;;;1 516,80;;100 385,40
;A 480;2025-06-18;Lokalhyra - med moms;;;15 986,40;;116 371,80
;A 630;2025-07-03;Lagar Hyra office rent;;;1 564,80;;117 936,60
;A 632;2025-07-03;Hyra Butik shop rent;;;16 440,00;;134 376,60
;A 633;2025-07-03;Lagar Hyra office rent duplicate;;;1 564,80;;135 941,40
;A 665;2025-08-01;Hyra Butik shop rent;;;15 986,40;;151 927,80
;A 671;2025-08-06;Rent correction August;;;1 516,80;;153 444,60
;A 706;2025-09-02;Rent correction September;;;1 516,80;;154 961,40
;A 724;2025-09-08;Hyra Butik shop rent;;;15 986,40;;170 947,80
;A 736;2025-09-26;Rent correction September;;;1 612,80;;172 560,60
;A 737;2025-09-26;Additional rent September;;;16 127,20;;188 687,80
;A 982;2025-10-12;MALARDALSTRAFIKEN - Arbetsresa;;;293,60;;188 981,40
;A 981;2025-10-14;MALARDALSTRAFIKEN - Arbetsresa;;;293,60;;189 275,00
;A 979;2025-10-26;SJ AB Tag - Arbetsresa;;;76,80;;189 351,80
;A 980;2025-10-26;SJ AB Tag - Arbetsresa;;;76,80;;189 428,60
;A 863;2025-10-28;Hyra oktober butik/lager 4392007;;;15 986,40;;205 415,00
;A 864;2025-10-28;Hyra lagar 4392007;;;1 516,80;;206 931,80
;A 1001;2025-11-10;St1 Gillbergaplan - Fretagsbrnsle;;;757,14;;207 688,94
;A 1010;2025-11-15;TG JBC Orebro - Arbetsresa;;;1 644,00;;209 332,94
;A 962;2025-11-24;Liuhua Hotel Guangzhou - Kinaresa arbetsresa;;;7 178,53;;216 511,47
;A 1002;2025-11-25;AIMO Parkering - Fretag;;;283,96;;216 795,43
;A 983;2025-11-27;MALARDALSTRAFIKEN - Arbetsresa;;;587,20;;217 382,63
;A 963;2025-11-29;Liuhua Hotel Guangzhou - Kinaresa arbetsresa;;;4 486,38;;221 869,01
;A 1008;2025-12-02;Partners on Booking BV - Resekostnader Arlanda;;;1 139,47;;223 008,48
;;;"""Utgående saldo:""";;0,00;223 008,48;0,00;223 008,48
;;;;;;;;
5070 Reparation och underhåll av lokaler;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 53;2024-11-02;Biltema;;;616,40;;616,40
;A 52;2024-11-06;Clas Ohlson;;;16,02;;632,42
;A 59;2024-11-07;Clas Ohlson;;;175,20;;807,62
;;;"""Utgående saldo:""";;0,00;807,62;0,00;807,62
;;;;;;;;
5410 Förbrukningsinventarier;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 33;2024-10-25;Clas Ohlson;;;1 199,20;;1 199,20
;A 626;2025-07-01;Google G Suite software;;;81,13;;1 280,33
;A 627;2025-07-01;Fortnox software subscription;;;119,20;;1 399,53
;A 755;2025-07-01;Google Cloud SEK card purchase - Wise USD;;;172,81;;1 572,34
;A 631;2025-07-03;Visma software;;;1 497,60;;3 069,94
;A 643;2025-07-07;Easy Cashier POS system;;;2 748,00;;5 817,94
;A 657;2025-07-24;Bredband internet service;;;625,00;;6 442,94
;A 663;2025-07-31;Anthropic AI software;;;900,60;;7 343,54
;A 748;2025-08-01;Google G Suite software;;;58,40;;7 401,94
;A 668;2025-08-02;Fortnox software subscription;;;119,20;;7 521,14
;A 674;2025-08-08;Tele2 telecom service;;;90,27;;7 611,41
;A 686;2025-08-26;Hi3G telecom service;;;972,00;;8 583,41
;A 749;2025-09-01;Google G Suite software;;;56,65;;8 640,06
;A 710;2025-09-03;Fortnox software subscription;;;119,20;;8 759,26
;A 721;2025-09-05;OpenAI AI software;;;96,72;;8 855,98
;A 733;2025-09-22;Hi3G telecom service;;;1 288,80;;10 144,78
;;;"""Utgående saldo:""";;0,00;10 144,78;0,00;10 144,78
;;;;;;;;
5420 Programvaror;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 436;2025-01-13;Paid to Shopify;;;1 043,04;;1 043,04
;A 232;2025-01-28;Viva Wallet Card Purchase - CHILIMOBIL.SE;;;499,00;;1 542,04
;A 582;2025-02-14;ûverfring - Programvara med moms;;;560,00;;2 102,04
;A 186;2025-02-18;Viva Wallet Card Purchase - SHOPIFY* 330742565;;;376,00;;2 478,04
;A 395;2025-03-12;Card transaction Shopify;;;472,61;;2 950,65
;A 431;2025-03-12;Card transaction Shopify;;;1,32;;2 951,97
;A 440;2025-03-12;Card transaction Shopify;;;41,42;;2 993,39
;A 391;2025-03-13;Card transaction Shopify;;;103,62;;3 097,01
;A 393;2025-03-13;Card transaction Shopify;;;515,22;;3 612,23
;A 394;2025-03-13;Card transaction Shopify;;;515,07;;4 127,30
;A 384;2025-03-17;Card transaction Apple;;;249,00;;4 376,30
;A 385;2025-03-17;Card transaction Shopify;;;1 436,59;;5 812,89
;A 378;2025-03-23;Card transaction Ant Ifoto.ai;;;100,87;;5 913,76
;A 377;2025-03-24;Card transaction Google Play;;;254,47;;6 168,23
;A 376;2025-03-25;Card transaction Apple;;;999,00;;7 167,23
;A 373;2025-04-02;Card transaction OpenAI ChatGPT;;;198,97;;7 366,20
;A 357;2025-04-16;Card transaction Shopify;;;1 425,18;;8 791,38
;A 356;2025-04-17;Card transaction Norton;;;191,00;;8 982,38
;A 355;2025-04-23;Card transaction Ant Ifoto.ai;;;95,69;;9 078,07
;A 350;2025-05-20;Card transaction Shopify;;;968,96;;10 047,03
;A 349;2025-05-27;Card transaction 2co.com imobie;;;475,85;;10 522,88
;A 347;2025-06-15;Card transaction Shopify;;;493,72;;11 016,60
;A 788;2025-10-24;One.com SEK 11.25 SEK;;;9,00;;11 025,60
;A 789;2025-10-27;Google Play app SEK 176.40 SEK;;;176,40;;11 202,00
;A 790;2025-10-27;Google Play app SEK 176.40 SEK;;;176,40;;11 378,40
;A 791;2025-10-31;YouTube Premium SEK 10.00 SEK;;;10,00;;11 388,40
;A 771;2025-11-24;APPLE.COM/BILL - iCloud company;;;199,20;;11 587,60
;A 824;2025-12-14;Shopify abonnemang EUR 36.00 EUR;;;414,00;;12 001,60
;A 829;2025-12-19;One.com USD 13.75 USD kurs 9.31722;;;102,50;;12 104,10
;;;"""Utgående saldo:""";;0,00;12 104,10;0,00;12 104,10
;;;;;;;;
5460 Förbrukningsmaterial;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 24;2024-10-08;Rusta;;;946,64;;946,64
;A 26;2024-10-08;Biltema;;;292,00;;1 238,64
;A 115;2024-10-08;JULA;;;438,00;;1 676,64
;A 25;2024-10-09;Biltema;;;1 547,52;;3 224,16
;A 15;2024-10-10;TEMU PO-191-055293649567125515;;;1 624,48;;4 848,64
;A 28;2024-10-10;biltema;;;960,80;;5 809,44
;A 35;2024-10-10;Clas Ohlson;;;60,00;;5 869,44
;A 27;2024-10-12;Biltema;;;399,20;;6 268,64
;A 30;2024-10-15;Clas Ohlson;;;192,08;;6 460,72
;A 16;2024-10-18;TEMU PO-191-06903722854952515;;;972,54;;7 433,26
;A 22;2024-10-28;Clas Ohlson;;;199,20;;7 632,46
;A 29;2024-10-28;Biltema;;;319,20;;7 951,66
;A 31;2024-10-28;Clas Ohlson;;;32,02;;7 983,68
;A 14;2024-10-29;TEMU PO-191-15837295250472515;;;371,10;;8 354,78
;A 49;2024-11-07;Biltema;;;131,76;;8 486,54
;A 50;2024-11-07;RUSTA;;;39,92;;8 526,46
;A 57;2024-11-07;Clas Ohlson;;;519,12;;9 045,58
;A 56;2024-11-11;Clas Ohlson;;;319,20;;9 364,78
;A 58;2024-11-12;Clas Ohlson;;;;439,18;8 925,60
;A 228;2025-01-30;Viva Wallet Card Purchase - Temu.com;;;1 400,00;;10 325,60
;A 225;2025-01-31;Viva Wallet Card Purchase - Temu.com;;;226,00;;10 551,60
;A 208;2025-02-06;Viva Wallet Card Refund - CLAS OHLSON;;;;159,00;10 392,60
;A 209;2025-02-06;Viva Wallet Card Purchase - CLAS OHLSON;;;494,00;;10 886,60
;A 190;2025-02-16;Viva Wallet Card Purchase - BILTEMA ESKILSTUNA;;;713,00;;11 599,60
;A 185;2025-02-18;Viva Wallet Card Purchase - CLAS OHLSON;;;55,00;;11 654,60
;A 610;2025-06-30;Allokering frbrukningsmaterial frÑn import;;;2 249,62;;13 904,22
;A 637;2025-07-03;TEMU.COM - Business supplies;;;339,00;;14 243,22
;A 638;2025-07-08;TEMU.COM - Business supplies;;;702,00;;14 945,22
;A 786;2025-10-17;Temu forpackning SEK 548.87 SEK;;;548,87;;15 494,09
;A 793;2025-11-01;Temu refund SEK 30.97 SEK;;;;30,97;15 463,12
;;;"""Utgående saldo:""";;0,00;16 092,27;629,15;15 463,12
;;;;;;;;
5610 Personbilskostnader;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 37;2024-10-16;Aimo Park Sweden;;;252,95;;252,95
;A 17;2024-10-31;AIMO PARK - HYRESAVI F.41986401814;;;1 490,32;;1 743,27
;A 61;2024-11-15;Aimo Park Sweden;;;252,95;;1 996,22
;A 75;2024-11-16;Aimo Park Sweden;;;252,95;;2 249,17
;A 76;2024-12-16;Aimo Park Sweden;;;252,95;;2 502,12
;A 79;2024-12-19;Aimo Park Sweden;;;252,95;;2 755,07
;A 89;2024-12-30;AIMO PARK - HYRESAVI F.41986486320;;;1 113,26;;3 868,33
;A 460;2025-01-08;Swish betalning EASYPARK AB - Business parking;;;19,00;;3 887,33
;A 461;2025-03-03;Kortkp ST1 GILLBERGAPLAN - Business fuel;;;757,40;;4 644,73
;A 386;2025-03-16;Card transaction OKQ8;;;99,00;;4 743,73
;A 362;2025-04-14;Card refund St1;;;;1 160,88;3 582,85
;A 363;2025-04-14;Card transaction St1;;;2 000,00;;5 582,85
;A 462;2025-06-26;Kortkp Besikta Eskilstuna - Business vehicle inspection;;;359,00;;5 941,85
;A 635;2025-07-05;Moneygram Greece - business travel;;;2 944,11;;8 885,96
;A 636;2025-07-06;Sormland traffic business travel;;;18,40;;8 904,36
;A 640;2025-07-07;Aviation fee - flight booking;;;28,00;;8 932,36
;A 647;2025-07-14;Fatoora Riyadh - business travel;;;906,03;;9 838,39
;A 744;2025-08-10;Resecentrum travel booking;;;908,80;;10 747,19
;A 745;2025-08-11;National Express - business transport;;;279,99;;11 027,18
;A 746;2025-08-26;Budgetair flight booking;;;555,88;;11 583,06
;A 747;2025-09-05;Aviation fee;;;31,20;;11 614,26
;A 723;2025-09-06;Malardalstrafik business transport;;;293,60;;11 907,86
;A 802;2025-11-23;St1 drivmedel EUR 37.82 EUR kurs 10.999;;;332,76;;12 240,62
;A 822;2025-12-12;Circle K drivmedel USD 67.13 USD kurs 9.28897;;;498,82;;12 739,44
;A 838;2025-12-29;St1 drivmedel USD 96.07 USD kurs 9.17915;;;705,48;;13 444,92
;;;"""Utgående saldo:""";;0,00;14 605,80;1 160,88;13 444,92
;;;;;;;;
5611 Drivmedel för personbilar;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 11;2024-09-06;(ST1 ESKILSTUNA);;;667,63;;667,63
;A 12;2024-09-10;utgift/kostnad ( DARA ENERGI A.S) DRIVMEDEL;;;652,06;;1 319,69
;A 159;2024-09-11;Preem Rosersberg;;;;618,30;701,39
;A 40;2024-10-01;utgift/kostnad (okq8 drivmedel );;;550,29;;1 251,68
;A 39;2024-10-02;utgift/kostnad (okq8 drivmedel );;;745,39;;1 997,07
;A 62;2024-10-08;utgift/kostnad (okq8);;;687,59;;2 684,66
;A 38;2024-10-28;utgift/kostnad (shell drivmedel );;;672,45;;3 357,11
;A 64;2024-11-07;utgift/kostnad (ST1);;;676,93;;4 034,04
;A 74;2024-11-29;utgift/kostnad ( circle K);;;691,81;;4 725,85
;A 78;2024-12-03;(okq8);;;419,52;;5 145,37
;A 84;2024-12-03;utgift/kostnad (shell e4 norr);;;159,00;;5 304,37
;A 192;2025-02-15;Viva Wallet Card Purchase - St1 Gillbergaplan;;;512,00;;5 816,37
;A 765;2025-10-06;St1 Gillbergaplan - Company fuel;;;725,18;;6 541,55
;;;"""Utgående saldo:""";;0,00;7 159,85;618,30;6 541,55
;;;;;;;;
5619 Övriga personbilskostnader;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 140;2024-10-03;Aimo Park Sweden;;;154,90;;154,90
;A 138;2024-10-07;Aimo Park Sweden;;;89,85;;244,75
;A 137;2024-10-09;Aimo Park Sweden;;;29,95;;274,70
;A 136;2024-10-12;Aimo Park Sweden;;;158,90;;433,60
;A 135;2024-10-27;Aimo Park Sweden;;;29,95;;463,55
;A 47;2024-10-29;Aimo Park Sweden;;;29,99;;493,54
;A 134;2024-10-29;Aimo Park Sweden;;;29,95;;523,49
;A 153;2024-10-30;Aimo Park Sweden;;;1 000,00;;1 523,49
;A 67;2024-11-28;utgift/kostnad (eparkera );;;64,85;;1 588,34
;A 126;2024-12-03;(eparkera session 252);;;36,90;;1 625,24
;;;"""Utgående saldo:""";;0,00;1 625,24;0,00;1 625,24
;;;;;;;;
5620 Lastbilskostnader;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 684;2025-08-26;Car insurance Bilforsakring;;;849,00;;849,00
;;;"""Utgående saldo:""";;0,00;849,00;0,00;849,00
;;;;;;;;
5700 Frakter och transporter (gruppkonto);;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 611;2025-06-30;Allokering frakt- och transportkostnader frÑn import;;;114 392,93;;114 392,93
;A 613;2025-06-30;235-IST-266493095 invoice 42 shipping from turkey ;;;44 500,00;;158 892,93
;A 619;2025-06-30;fixing invintory costs ;;;;158 892,00;0,93
;A 853;2025-10-14;Frakt PostNord 50207042;;;339,20;;340,13
;A 799;2025-11-14;Shipit.se frakt EUR 91.08 EUR kurs 10.9795;;;800,00;;1 140,13
;A 891;2025-11-24;Frakt PostNord 52494309;;;734,96;;1 875,09
;A 892;2025-11-24;Frakt PostNord 52494309;;;1 548,69;;3 423,78
;A 894;2025-11-25;Frakt DB Schenker 9423047;;;1 726,40;;5 150,18
;A 917;2025-12-15;Frakt 50516822;;;2 332,00;;7 482,18
;A 918;2025-12-15;Frakt DB Schenker 9423047;;;101,60;;7 583,78
;A 919;2025-12-15;Frakt DB Schenker 9423047;;;189,60;;7 773,38
;A 920;2025-12-15;Frakt DB Schenker 9423047;;;790,40;;8 563,78
;A 921;2025-12-15;Frakt DB Schenker 9423047;;;2 490,40;;11 054,18
;A 922;2025-12-15;Frakt DB Schenker 9423047;;;116,00;;11 170,18
;A 923;2025-12-15;Frakt PostNord 52494309;;;311,20;;11 481,38
;A 927;2025-12-17;Frakt DB Schenker 9423047;;;95,20;;11 576,58
;A 928;2025-12-17;Frakt DB Schenker 9423047;;;61,44;;11 638,02
;A 933;2025-12-29;Frakt DB Schenker 9423047;;;199,50;;11 837,52
;A 934;2025-12-29;Frakt DB Schenker 9423047;;;84,00;;11 921,52
;;;"""Utgående saldo:""";;0,00;170 813,52;158 892,00;11 921,52
;;;;;;;;
5800 Resekostnader (gruppkonto);;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 321;2024-12-04;Viva Wallet Card Purchase - mytrip_1045449237;;;9 945,00;;9 945,00
;A 428;2025-04-05;Card transaction Ryanair;;;813,84;;10 758,84
;A 429;2025-04-05;Card transaction Pegasus;;;492,36;;11 251,20
;A 358;2025-04-14;Card transaction Dohop;;;810,61;;12 061,81
;A 359;2025-04-14;Card refund Dohop;;;;802,37;11 259,44
;A 360;2025-04-14;Card transaction Dohop;;;802,37;;12 061,81
;;;"""Utgående saldo:""";;0,00;12 864,18;802,37;12 061,81
;;;;;;;;
5810 Biljetter;;;;;;;;
;;;"""Ingående saldo perioden:""";;;;;0,00
;A 139;2024-10-07;sj app;;;214,00;;214,00
;A 95;2024-12-04;flygbiljett;;;9 945,82;;10 159,82
